benchmark,config,passed,kernel_time,working_set_pages,working_set_bytes,gmmu_translation_count,gmmu_translation_avg_latency,gmmu_max_inflight,gmmu_avg_inflight,mmu_translation_count,mmu_translation_avg_latency,mmu_max_inflight,mmu_avg_inflight,memory_page_size,memory_footprint_live_pages,memory_footprint_live_bytes,memory_footprint_peak_pages,memory_footprint_peak_bytes,memory_footprint_total_pages,memory_footprint_total_bytes,page_migration_count,page_migration_pages,page_migration_bytes,page_migration_avg_latency,pcie_page_migration_payload_bytes,l2_tlb_mpki,l2_tlb_miss,utopia_rsw_hit_count,utopia_rsw_miss_count,utopia_sf_filtered_count,utopia_sf_cache_hit_count,utopia_sf_cache_miss_count,utopia_tar_cache_hit_count,utopia_tar_cache_miss_count,utopia_flexseg_walk_count,utopia_passthrough_count,utopia_restseg_occupied_frames,avatar_l1_miss_forwarded_count,avatar_speculation_count,avatar_cava_pass_count,avatar_cava_mismatch_count,avatar_cava_incompressible_count,avatar_cava_no_metadata_count,avatar_early_completion_count,avatar_real_response_first_count,avatar_swallowed_rsp_count,avatar_page_table_veto_count,avatar_validation_read_count,avatar_validation_wait_cycle_sum,avatar_spec_out_of_range_count,avatar_walk_cancel_sent_count,avatar_forward_suppressed_count,avatar_orphan_rsp_count,avatar_stale_validation_rsp_count,avatar_frame_install_count,avatar_frame_invalidate_count,avatar_region_bound_count,avatar_region_free_count,hpt_walk_count,hpt_memory_access_count,sw_walk_count,sw_extra_cycles_total,sw_admission_blocked_ticks,in_tlb_mshr_alloc_count,in_tlb_mshr_refuse_cap_count,in_tlb_mshr_refuse_set_count,l1vtlb_mshr_reservation_failure_count,latc_mshr_group_count,latc_mshr_coalesced_miss_count,latp_batch_count,latp_batched_member_count,error
atax,avatar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,baseline,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,hpt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,ideal-l1tlb,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,softwalker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,utopia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atax,virtual-caching,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,avatar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,baseline,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,hpt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,ideal-l1tlb,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,softwalker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,utopia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bfs,virtual-caching,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,avatar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,baseline,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,hpt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,ideal-l1tlb,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,softwalker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,utopia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bicg,virtual-caching,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft,avatar,False,0.000512366,16393.0,67145728.0,16331.0,1.1658851264466255e-07,16.0,3.8457018784083696,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.48001820916346616,16382.0,,,,,,,,,,,16528.0,11229.0,5132.0,0.0,1254.0,0.0,5132.0,4843.0,0.0,0.0,11229.0,890780.0,0.0,5132.0,0.0,188.0,4710.0,16394.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,
fft,baseline,False,0.0005123039999999999,16393.0,67145728.0,16393.0,1.1667412920148866e-07,16.0,3.861109092377268,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.4803405263592175,16393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
fft,hpt,False,0.0005136049999999999,16393.0,67145728.0,16393.0,1.030000000000001e-07,16.0,3.4018938821562075,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.4803405263592175,16393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16393.0,16393.0,,,,,,,0.0,,,,,
fft,ideal-l1tlb,False,0.0005052469999999999,16393.0,67145728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fft,softwalker,False,0.0005146089999999999,16393.0,67145728.0,16393.0,1.9572726163606503e-07,424.0,6.449036731822526,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.4803405263592175,16393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16393.0,789688.0,0.0,951.0,0.0,0.0,0.0,,,,,
fft,utopia,False,0.0005119899999999999,16393.0,67145728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.4803405263592175,16393.0,16393.0,0.0,0.0,16376.0,17.0,15367.0,1026.0,0.0,0.0,16394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
fft,virtual-caching,False,0.000516054,8.0,32768.0,16393.0,1.1677722198499359e-07,16.0,3.8361384700165324,0.0,0.0,0.0,0.0,4096.0,16394.0,67149824.0,16394.0,67149824.0,16394.0,67149824.0,0.0,0.0,0.0,0.0,0.0,0.9486381102226357,32375.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmeans,avatar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmeans,baseline,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmeans,hpt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmeans,ideal-l1tlb,False,0.000995093,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,8331.0,34123776.0,8331.0,34123776.0,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kmeans,softwalker,False,0.0010368490000000003,8331.0,34123776.0,291780.0,9.315110322842164e-07,576.0,198.18892299807163,0.0,0.0,0.0,0.0,4096.0,8331.0,34123776.0,8331.0,34123776.0,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,17.281744677947597,291780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291780.0,14011120.0,0.0,192717.0,3182804.0,129752.0,12192394.0,,,,,
kmeans,utopia,False,0.001742162,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4096.0,8331.0,34123776.0,8331.0,34123776.0,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,23.587170878062835,398239.0,398239.0,0.0,0.0,398230.0,9.0,168498.0,229741.0,0.0,0.0,8331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15088269.0,,,,,
kmeans,virtual-caching,False,0.001211254,2.0,8192.0,8331.0,1.1665706397791383e-07,16.0,0.7286775208154447,0.0,0.0,0.0,0.0,4096.0,8331.0,34123776.0,8331.0,34123776.0,8331.0,34123776.0,0.0,0.0,0.0,0.0,0.0,21.33577023820354,360227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,avatar,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,baseline,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,hpt,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,ideal-l1tlb,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,softwalker,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,utopia,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrixmultiplication,virtual-caching,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
