benchmark,config,baseline_us,config_us,speedup
bfs,avatar,28747.975,12911.854000000001,2.226479249223233
bfs,hpt,28747.975,28228.909,1.0183877456971504
bfs,ideal-l1tlb,28747.975,4142.308,6.940086299715038
bfs,latpc,28747.975,27443.254,1.0475425035238168
bfs,softwalker,28747.975,41810.143999999906,0.6875837356599409
bfs,utopia,28747.975,8843.392,3.2507860106167406
bfs,virtual-caching,28747.975,4451.441000000001,6.458127828718834
fft,avatar,511.15700000000004,510.06800000000004,1.0021350094497206
fft,hpt,511.15700000000004,510.61300000000006,1.001065386114337
fft,ideal-l1tlb,511.15700000000004,507.097,1.0080063577579834
fft,latpc,511.15700000000004,511.15700000000004,1.0
fft,softwalker,511.15700000000004,511.395,0.9995346063219235
fft,utopia,511.15700000000004,508.9,1.0044350560031443
fft,virtual-caching,511.15700000000004,512.4939999999999,0.9973911889700174
kmeans,avatar,5450.605,2291.531,2.3785866305103447
kmeans,hpt,5450.605,5328.447,1.0229256291748796
kmeans,ideal-l1tlb,5450.605,818.0349999998999,6.6630462021804275
kmeans,latpc,5450.605,5206.027,1.0469797793979938
kmeans,softwalker,5450.605,2209.3599999999,2.467051544338744
kmeans,utopia,5450.605,3716.8790000000004,1.4664467151069485
kmeans,virtual-caching,5450.605,1097.794,4.965052641934643
matrixmultiplication,avatar,1609.8,1615.059,0.996743772208941
matrixmultiplication,hpt,1609.8,1612.3500000000001,0.9984184575309331
matrixmultiplication,ideal-l1tlb,1609.8,1591.048,1.0117859423474338
matrixmultiplication,latpc,1609.8,1608.7639999999,1.0006439726399274
matrixmultiplication,softwalker,1609.8,1615.361,0.996557425863321
matrixmultiplication,utopia,1609.8,1602.277,1.0046951931532437
matrixmultiplication,virtual-caching,1609.8,1608.095,1.001060260743302
matrixtranspose,avatar,595.023,215.46099999999998,2.7616273942848126
matrixtranspose,hpt,595.023,591.669,1.00566871003889
matrixtranspose,ideal-l1tlb,595.023,52.00799999999998,11.44098984771574
matrixtranspose,latpc,595.023,368.5719999999,1.6144009854252668
matrixtranspose,softwalker,595.023,839.1819999999999,0.7090511950923638
matrixtranspose,utopia,595.023,306.884,1.9389182883434783
matrixtranspose,virtual-caching,595.023,167.03799999999998,3.56220141524683
nbody,avatar,1599.769,1626.5859999999,0.9835133217672465
nbody,hpt,1599.769,1662.2529999999,0.9624100543058706
nbody,ideal-l1tlb,1599.769,1613.3839999999,0.9915612154329652
nbody,latpc,1599.769,1599.769,1.0
nbody,softwalker,1599.769,1659.0769999999,0.964252412636723
nbody,utopia,1599.769,1597.154,1.0016372873248292
nbody,virtual-caching,1599.769,1615.9619999999,0.9899793435737345
nw,avatar,11130.638999999901,10868.098,1.0241570328129082
nw,hpt,11130.638999999901,11051.7579999999,1.0071374165087583
nw,ideal-l1tlb,11130.638999999901,7665.435,1.4520557541744077
nw,latpc,11130.638999999901,10412.402,1.068978992551373
nw,softwalker,11130.638999999901,13405.696,0.8302917655301075
nw,utopia,11130.638999999901,9553.964,1.1650283589094432
nw,virtual-caching,11130.638999999901,8501.119999999999,1.3093144197470334
pagerank,avatar,1760.1449999999002,905.077,1.9447461376213295
pagerank,hpt,1760.1449999999002,1706.5729999998998,1.0313915666074662
pagerank,ideal-l1tlb,1760.1449999999002,251.8839999999,6.9879190421011215
pagerank,latpc,1760.1449999999002,1719.88,1.023411517082529
pagerank,softwalker,1760.1449999999002,2305.0839999999002,0.7635925632211131
pagerank,utopia,1760.1449999999002,727.0739999999,2.4208608752343532
pagerank,virtual-caching,1760.1449999999002,325.592,5.40598356224938
relu,avatar,224.4159999999,182.2679999999,1.2312419075209204
relu,hpt,224.4159999999,216.1669999999,1.0381603112408637
relu,ideal-l1tlb,224.4159999999,136.1879999999,1.6478397509330103
relu,latpc,224.4159999999,224.4159999999,1.0
relu,softwalker,224.4159999999,324.7339999999,0.6910763886749435
relu,utopia,224.4159999999,136.7709999999,1.6408156699889893
relu,virtual-caching,224.4159999999,221.2289999999,1.0144058871124557
simpleconvolution,avatar,1014.072,1012.1869999999999,1.0018623040999342
simpleconvolution,hpt,1014.072,1155.9019999999,0.8772992866177995
simpleconvolution,ideal-l1tlb,1014.072,1254.179,0.808554440793539
simpleconvolution,latpc,1014.072,1010.8840000000001,1.0031536753969792
simpleconvolution,softwalker,1014.072,1174.4279999999999,0.8634603398420337
simpleconvolution,utopia,1014.072,1259.6859999998999,0.8050196636305242
simpleconvolution,virtual-caching,1014.072,1255.638,0.8076149336034749
stencil2d,avatar,7121.823,3969.3789999999,1.7941907285749685
stencil2d,hpt,7121.823,6956.081,1.0238269220844323
stencil2d,ideal-l1tlb,7121.823,386.36499999989996,18.43288858980975
stencil2d,latpc,7121.823,6996.24,1.017950070323488
stencil2d,softwalker,7121.823,9389.725999999999,0.7584697359646065
stencil2d,utopia,7121.823,6865.2279999999,1.0373760347070926
stencil2d,virtual-caching,7121.823,2124.089,3.352883518534299
vectoradd,avatar,94.59100000000001,81.67500000000003,1.1581389654116925
vectoradd,hpt,94.59100000000001,91.163,1.037602974891129
vectoradd,ideal-l1tlb,94.59100000000001,61.64799999999987,1.5343725668310442
vectoradd,latpc,94.59100000000001,94.59100000000001,1.0
vectoradd,softwalker,94.59100000000001,124.62499999989998,0.7590050150457446
vectoradd,utopia,94.59100000000001,62.152999999999906,1.521905620002255
vectoradd,virtual-caching,94.59100000000001,87.37100000000015,1.0826361149580506
