benchmark,config,baseline_us,config_us,speedup
fft,uvm,511.15700000000004,45509.676,0.01123183122639678
fft,uvm-ideal,511.15700000000004,3037.585,0.1682774309196286
kmeans,uvm,5450.605,18720.097,0.29116328830988425
kmeans,uvm-ideal,5450.605,5112.381,1.0661578235268458
matrixmultiplication,uvm-ideal,1609.8,3241.6279999999997,0.4966023245110173
matrixtranspose,uvm,595.023,16178.242999999999,0.03677921020224508
matrixtranspose,uvm-ideal,595.023,681.387,0.8732526449726807
nbody,uvm,1599.769,1741.8139999999999,0.9184499607880061
nbody,uvm-ideal,1599.769,1679.5269999999,0.9525116297624839
nw,uvm,11130.638999999901,77927.13399999999,0.14283393252984128
nw,uvm-ideal,11130.638999999901,12160.901,0.9152807838826992
pagerank,uvm,1760.1449999999002,6695.031,0.2629031889471311
pagerank,uvm-ideal,1760.1449999999002,2267.281,0.7763241521451907
relu,uvm,224.4159999999,55263.049,0.004060868954224729
relu,uvm-ideal,224.4159999999,2702.4889999999,0.08304048601119497
simpleconvolution,uvm-ideal,1014.072,6488.169,0.15629555888571953
stencil2d,uvm,7121.823,63751.799999999996,0.11171171637506706
stencil2d,uvm-ideal,7121.823,7216.3820000000005,0.9868966193862797
vectoradd,uvm,94.59100000000001,19104.533,0.004951233301541577
vectoradd,uvm-ideal,94.59100000000001,1356.9299999999998,0.06970956497387486
